Fire,State,Area,Perim,Burned over,Held,Not Engaged,Tr Ratio,Er Ratio,HEr Ratio,HTr Ratio
Buzzard,NM,203.2,141.9,21.1,48.9,28.9,0.7,0.71,0.7,0.49
416,CO,218.9,281.4,8.1,22.4,70.4,0.36,0.3,0.73,0.22
West Valley,UT,47.6,72.8,0,24.9,8.3,0.46,0.75,1,0.75
Spring Creek,CO,437.6,256.3,55.4,111,163.1,1.29,0.5,0.67,0.34
Ferguson,CA,391.9,186.8,102,155.1,253.8,2.74,0.5,0.6,0.3
Klondike,OR,923.6,816.1,173.8,117,276.6,0.7,0.51,0.4,0.21
South Umpqua Complex,CA,219.2,330,81.6,146.5,206.2,1.32,0.53,0.64,0.34
Carr,CA,929.4,390.5,192.3,135.9,262,1.51,0.56,0.41,0.23
Silver Creek,CO,81.5,137.2,38,45.9,44.8,0.94,0.65,0.55,0.36
Mendocino Complex,CA,1858,444.6,304.5,298.9,367.7,2.18,0.62,0.5,0.31
Crescent Mountain,WA,312.9,468.9,33.1,66.3,168.4,0.57,0.37,0.67,0.25
Cougar Creek,WA,167.9,167.1,25.1,65.9,94.1,1.11,0.49,0.72,0.36
Wigwam,MT,16.6,61.4,0.1,2.6,9.6,0.2,0.22,0.95,0.21
Monument,MT,26.8,69.5,0,0,13.7,0.2,0,NA,0
Mesa,ID,140.6,120.7,14.3,57.9,32.1,0.86,0.69,0.8,0.55
Rattlesnake Creek,ID,33.3,92.5,4.4,24.1,39.4,0.73,0.42,0.84,0.35
Hirz,CA,445,222.2,71.3,109.9,198.7,1.71,0.48,0.61,0.29
Terwilliger,OR,46.3,92.9,0.9,14.4,23.5,0.42,0.39,0.94,0.37
South Sugarloaf,NV,945.4,377.5,52.1,121.4,49.8,0.59,0.78,0.7,0.54
Watson Creek,OR,239,425.2,36.4,105.1,92.8,0.55,0.6,0.74,0.45
Gold Hill,MT,26.3,40.3,7.2,19.1,47.2,1.82,0.36,0.73,0.26
Maple,WA,13.3,37.3,0.1,2.5,1.1,0.1,0.7,0.95,0.66
Brianhead,UT,290.1,451.1,13.9,37.4,56.5,0.24,0.48,0.73,0.35
Meyers,MT,251,594,8,10,24.2,0.07,0.43,0.56,0.24
Lolo Peak,MT,218,320.4,86.4,73.9,47.7,0.65,0.77,0.46,0.36
Sunrise,MT,106.4,93.5,111.1,47,135.9,3.15,0.54,0.3,0.16
Whitewater,OR,59.1,108.5,3.3,24,106.3,1.23,0.2,0.88,0.18
Park Arrastra,MT,72.8,94.4,6.3,14.4,22.3,0.45,0.48,0.7,0.34
Jolly Mountain,WA,149,249,8,20,29,0.23,0.49,0.72,0.35
Norse Peak,WA,226.2,279.8,2.6,4.1,105.7,0.4,0.06,0.61,0.04
Milli,OR,97.3,79.5,20,18,12,0.63,0.76,0.47,0.36
Rice Ridge,MT,648.3,514.3,55.9,42.9,63.6,0.32,0.61,0.43,0.26
Trail Mountain,UT,72.9,132.8,0.7,16.1,14,0.23,0.54,0.96,0.52
