Fuel_model_code,1hr,10hr,100hr,Live_herb,Live_woody
GR1,0.1,0,0,0.3,0
GR2,0.1,0,0,1,0
GR3,0.1,0.4,0,1.5,0
GR4,0.25,0,0,1.9,0
GR5,0.4,0,0,2.5,0
GR6,0.1,0,0,3.4,0
GR7,1,0,0,5.4,0
GR8,0.5,1,0,7.3,0
GR9,1,1,0,9,0
GS1,0.2,0,0,0.5,0.65
GS2,0.5,0.5,0,0.6,1
GS3,0.3,0.25,0,1.45,1.25
GS4,1.9,0.3,0.1,3.4,7.1
SH1,0.25,0.25,0,0.15,1.3
SH2,1.35,2.4,0.75,0,3.85
SH3,0.45,3,0,0,6.2
SH4,0.85,1.15,0.2,0,2.55
SH5,3.6,2.1,0,0,2.9
SH6,2.9,1.45,0,0,1.4
SH7,3.5,5.3,2.2,0,3.4
SH8,2.05,3.4,0.85,0,4.35
SH9,4.5,2.45,0,1.55,7
TU1,0.2,0.9,1.5,0.2,0.9
TU2,0.95,1.8,1.25,0,0.2
TU3,1.1,0.15,0.25,0.65,1.1
TU4,4.5,0,0,0,2
TU5,4,4,3,0,3
TL1,1,2.2,3.6,0,0
TL2,1.4,2.3,2.2,0,0
TL3,0.5,2.2,2.8,0,0
TL4,0.5,1.5,4.2,0,0
TL5,1.15,2.5,4.4,0,0
TL6,2.4,1.2,1.2,0,0
TL7,0.3,1.4,8.1,0,0
TL8,5.8,1.4,1.1,0,0
TL9,6.65,3.3,4.15,0,0
SB1,1.5,3,11,0,0
SB2,4.5,4.25,4,0,0
SB3,5.5,2.75,3,0,0
SB4,5.25,3.5,5.25,0,0
