Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7749.4, 19336.1, 0, 5, 2946, 
5, 124.8, 8471.8, 20285.6, 325.8, 20.6, 2418, 
10, 48.6, 8017.6, 21261.9, 319, 20.96, 2280.2, 
15, 3.8, 7561.8, 22145.3, 349.5, 20.83, 2313.5, 
20, 20.4, 7244.4, 22623.3, 288.8, 18.69, 2494.8, 
25, -105.2, 7019, 23218.8, 349.4, 14.79, 2710.2, 
30, -102.6, 6885.8, 23727.8, 364.8, 14.23, 2924.3, 
35, -56.7, 6765.3, 24225.5, 333.3, 13.68, 3141.2, 
40, -115.6, 6699.1, 24499.8, 323, 11.73, 3375.2, 
45, -78.7, 6652, 24917.1, 341.3, 10.5, 3513.3, 
50, -118.4, 6655.1, 25228.8, 334.9, 8.83, 3742.7, 
55, -117.9, 6658.3, 25386.3, 349.5, 7.33, 3891.2, 
60, 1.4, 6689.7, 25386.1, 214, 7.35, 4123.2, 
65, -97.5, 6761.3, 25589.2, 359.6, 5.69, 4261.8, 
70, -115.8, 6810.4, 26047.7, 359.6, 5.16, 4375.2, 
75, -86.9, 6886.3, 26400.7, 378.8, 4.71, 4478.8, 
80, -103.8, 6958.4, 26644.4, 362.2, 4.47, 4594.3, 
