"","Species","shape","scale","location","adjust"
"1","AbieConc",1.92469201259768,2.46809554140848,0,1
"2","AbieMagn",2.43761098304664,4.48494432098042,0,1
"3","AcerMacr",2.00299306816609,8.18602495702298,0,1
"4","AescCali",2.06298520387316,0.799175163809114,0,1
"5","AlnuRhom",1.14767058211064,8.37704389198722,0,1
"6","ArbuMenz",1.5827954418315,2.01572238078553,0,1
"7","CaloDecu",1.8969996192187,1.98467646241237,0,1
"8","CornNutt",2.37878560305266,9.2254736576798,0,1
"9","JuniOcci",1.48910384668183,0.751520194311572,0,1
"10","LithDens",2.17578257062099,4.81984866167905,0,1
"11","PinuAlbi",1.48287765934062,0.768612016846742,0,1
"12","PinuAtte",1.48287765934062,0.768612016846742,0,1
"13","PinuCont",1.48287765934062,0.768612016846742,0,1
"14","PinuJeff",2.01538656455436,1.09526495235255,0,1
"15","PinuLamb",2.04443840131859,2.91187421157014,0,1
"16","PinuMono",1.15597188167768,0.245658401535144,0,1
"17","PinuMont",1.88303974925713,2.53063138860204,0,1
"18","PinuPond",2.01538656455436,1.09526495235255,0,1
"19","PinuSabi",2.01339598183542,1.08984227358874,0,1
"20","PinuWash",2.01538656455436,1.09526495235255,0,1
"21","PopuTrem",1.09924847155918,0.580743210980035,0,1
"22","PseuMenz",1.6309672145638,2.1382937490524,0,1
"23","QuerChry",1.71485632397776,1.80248137618123,0,1
"24","QuerDoug",1.98563596232371,0.813501178836745,0,1
"25","QuerGarr",1.98563596232371,0.813501178836745,0,1
"26","QuerKell",1.98563596232371,0.813501178836745,0,1
"27","QuerWisl",1.71485632397776,1.80248137618123,0,1
"28","TaxuBrev",2.37878560305266,9.2254736576798,0,1
"29","TorrCali",2.37878560305266,9.2254736576798,0,1
"30","TsugMert",1.74023486222363,1.73593374155952,0,1
"31","UmbeCali",1.29170022737926,5.14864037303105,0,1
